,0
1340,630109
1341,630110
1342,630111
1343,630112
1344,630113
1345,602032
1346,602035
1347,669355
1348,669356
1349,275288
1350,275291
1351,690365
1352,690366
1353,690367
1354,690368
1355,690369
1356,437483
1357,437485
1358,437486
1359,437487
1360,437488
1361,437489
1362,437490
1363,437491
1364,437492
1365,437493
1366,437494
1367,437495
1368,437496
1369,437497
1370,437498
1371,437499
1372,437500
1373,437501
1374,437502
1375,72559
1376,72560
1377,517993
1378,518000
1379,129269
1380,129279
1381,333354
1382,333357
1383,582027
1384,582032
1385,163192
1386,163193
1387,163194
1388,163195
1389,550381
1390,550382
1391,457921
1392,457923
1393,418208
1394,418217
1395,173568
1396,173573
1397,700855
1398,700856
1399,663718
1400,663720
1401,566615
1402,566621
1403,464457
1404,464458
1405,467774
1406,467775
1407,467776
1408,467777
1409,467778
1410,467779
1411,467780
1412,467781
1413,569454
1414,569455
1415,569456
1416,569457
1417,569458
1418,569459
1419,569460
1420,569461
1421,569462
1422,569463
1423,569464
1424,569465
1425,569466
1426,569467
1427,569468
1428,569469
1429,569470
1430,569471
1431,569472
1432,569473
1433,569474
1434,569475
1435,569476
1436,569477
1437,569478
1438,569479
1439,569480
1440,569481
1441,569482
1442,569483
1443,569484
1444,569485
1445,569486
1446,569487
1447,569488
1448,569489
1449,569490
1450,569491
1451,569492
1452,569493
1453,569494
1454,569495
1455,569496
1456,569497
1457,569498
1458,569499
1459,569500
1460,569501
1461,569502
1462,569503
1463,569504
1464,569505
1465,569506
1466,569507
1467,569508
1468,569509
1469,569510
1470,569511
1471,569512
1472,569513
1473,569514
1474,569515
1475,569516
1476,569517
1477,569518
1478,569519
1479,569520
1480,569521
1481,569522
1482,569523
1483,569524
1484,569525
1485,569526
1486,569527
1487,569528
1488,569529
1489,569530
1490,569531
1491,569532
1492,569533
1493,569534
1494,569535
1495,569536
1496,569537
1497,569538
1498,569539
1499,569540
1500,569541
1501,569542
1502,569543
1503,569544
1504,569545
1505,569546
1506,569547
1507,569548
1508,233179
1509,233181
1510,233182
1511,233183
1512,233185
1513,233186
1514,233187
1515,233188
1516,233189
1517,233190
1518,511450
1519,511475
1520,156749
1521,156754
1522,487425
1523,487429
1524,88591
1525,88593
1526,570654
1527,570655
1528,570656
1529,570657
1530,654203
1531,654204
1532,70462
1533,70463
1534,70464
1535,70465
1536,70466
1537,690372
1538,690379
1539,164953
1540,164954
1541,164955
1542,164956
1543,164957
1544,164958
1545,164959
1546,164960
1547,164961
1548,164962
1549,164963
1550,164964
1551,164965
1552,164966
1553,164967
1554,164968
1555,164969
1556,164970
1557,164971
1558,164972
1559,164973
1560,164974
1561,164975
1562,164976
1563,164977
1564,164978
1565,164979
1566,164980
1567,164981
1568,164982
1569,164983
1570,164984
1571,164985
1572,164986
1573,164987
1574,164988
1575,164989
1576,164990
1577,164991
1578,164992
1579,164993
1580,164994
1581,164995
1582,164996
1583,164997
1584,164998
1585,164999
1586,165000
1587,165001
1588,165002
1589,165003
1590,165004
1591,165005
1592,165006
1593,165007
1594,165008
1595,165009
1596,165010
1597,165011
1598,165012
1599,165013
1600,165014
1601,165015
1602,165016
1603,165017
1604,165018
1605,165019
1606,165020
1607,165021
1608,165022
1609,165023
1610,165024
1611,165025
